date,rate
1/1/10,34.99
1/2/10,87.01
1/3/10,103.81
1/4/10,95.45
1/5/10,71.22
1/6/10,75.26
1/7/10,45.62
1/8/10,71.63
1/9/10,59.32
1/10/10,70.53
1/11/10,77.48
1/12/10,44.37
1/13/10,53.50
1/14/10,40.97
1/15/10,42.00
1/16/10,35.70
1/17/10,33.30
1/18/10,37.11
1/19/10,37.56
1/20/10,34.02
1/21/10,39.38
1/22/10,42.98
1/23/10,32.99
1/24/10,31.48
1/25/10,28.58
1/26/10,43.74
1/27/10,38.86
1/28/10,40.17
1/29/10,54.68
1/30/10,67.20
1/31/10,41.20
2/1/10,40.41
2/2/10,40.41
2/3/10,44.39
2/4/10,41.92
2/5/10,38.58
2/6/10,47.23
2/7/10,51.39
2/8/10,57.50
2/9/10,47.37
2/10/10,57.61
2/11/10,40.95
2/12/10,46.03
2/13/10,46.31
2/14/10,36.92
2/15/10,52.97
2/16/10,49.47
2/17/10,50.01
2/18/10,49.04
2/19/10,37.58
2/20/10,36.04
2/21/10,32.17
2/22/10,38.72
2/23/10,42.10
2/24/10,40.47
2/25/10,43.87
2/26/10,45.58
2/27/10,42.21
2/28/10,44.82
3/1/10,39.89
3/2/10,50.08
3/3/10,44.54
3/4/10,36.11
3/5/10,43.02
3/6/10,37.62
3/7/10,31.72
3/8/10,36.68
3/9/10,32.13
3/10/10,30.61
3/11/10,35.70
3/12/10,41.24
3/13/10,38.85
3/14/10,36.46
3/15/10,46.01
3/16/10,36.10
3/17/10,39.80
3/18/10,36.53
3/19/10,29.66
3/20/10,27.87
3/21/10,29.00
3/22/10,34.01
3/23/10,43.77
3/24/10,34.48
3/25/10,30.23
3/26/10,30.98
3/27/10,30.27
3/28/10,26.87
3/29/10,33.05
3/30/10,34.09
3/31/10,30.34
4/1/10,29.01
4/2/10,27.31
4/3/10,31.88
4/4/10,30.87
4/5/10,48.63
4/6/10,41.32
4/7/10,45.45
4/8/10,41.31
4/9/10,31.83
4/10/10,34.49
4/11/10,36.81
4/12/10,40.12
4/13/10,44.59
4/14/10,42.46
4/15/10,36.92
4/16/10,35.71
4/17/10,30.83
4/18/10,34.25
4/19/10,37.24
4/20/10,37.70
4/21/10,45.56
4/22/10,35.25
4/23/10,34.77
4/24/10,29.59
4/25/10,28.58
4/26/10,40.26
4/27/10,31.28
4/28/10,38.36
4/29/10,36.51
4/30/10,31.01
5/1/10,37.33
5/2/10,69.15
5/3/10,70.93
5/4/10,39.89
5/5/10,43.27
5/6/10,45.97
5/7/10,32.53
5/8/10,35.36
5/9/10,24.20
5/10/10,32.19
5/11/10,36.28
5/12/10,35.77
5/13/10,51.14
5/14/10,69.81
5/15/10,46.21
5/16/10,29.24
5/17/10,33.72
5/18/10,33.76
5/19/10,31.14
5/20/10,32.91
5/21/10,34.85
5/22/10,30.45
5/23/10,37.25
5/24/10,44.06
5/25/10,41.83
5/26/10,56.27
5/27/10,46.34
5/28/10,42.17
5/29/10,44.91
5/30/10,34.38
5/31/10,43.83
6/1/10,49.59
6/2/10,47.36
6/3/10,48.40
6/4/10,49.92
6/5/10,56.37
6/6/10,40.13
6/7/10,28.68
6/8/10,31.58
6/9/10,40.09
6/10/10,51.48
6/11/10,46.75
6/12/10,31.92
6/13/10,38.05
6/14/10,48.41
6/15/10,62.54
6/16/10,41.10
6/17/10,47.94
6/18/10,43.10
6/19/10,39.62
6/20/10,45.10
6/21/10,56.10
6/22/10,55.22
6/23/10,60.87
6/24/10,71.50
6/25/10,54.82
6/26/10,45.28
6/27/10,79.39
6/28/10,78.45
6/29/10,52.32
6/30/10,34.68
7/1/10,38.41
7/2/10,34.98
7/3/10,27.29
7/4/10,34.49
7/5/10,63.44
7/6/10,99.99
7/7/10,114.61
7/8/10,79.40
7/9/10,60.06
7/10/10,44.33
7/11/10,51.88
7/12/10,47.47
7/13/10,62.58
7/14/10,49.14
7/15/10,77.55
7/16/10,72.98
7/17/10,57.10
7/18/10,50.91
7/19/10,67.25
7/20/10,55.12
7/21/10,95.01
7/22/10,58.04
7/23/10,77.87
7/24/10,84.76
7/25/10,62.69
7/26/10,52.67
7/27/10,60.91
7/28/10,81.34
7/29/10,78.98
7/30/10,39.77
7/31/10,38.80
8/1/10,52.65
8/2/10,50.20
8/3/10,53.25
8/4/10,65.49
8/5/10,60.91
8/6/10,39.53
8/7/10,47.95
8/8/10,39.54
8/9/10,80.60
8/10/10,80.15
8/11/10,90.82
8/12/10,62.44
8/13/10,52.68
8/14/10,43.73
8/15/10,42.52
8/16/10,69.89
8/17/10,56.92
8/18/10,46.00
8/19/10,52.69
8/20/10,60.35
8/21/10,47.06
8/22/10,43.30
8/23/10,36.06
8/24/10,30.00
8/25/10,31.29
8/26/10,45.86
8/27/10,38.18
8/28/10,36.92
8/29/10,35.54
8/30/10,43.93
8/31/10,54.48
9/1/10,57.99
9/2/10,63.68
9/3/10,40.09
9/4/10,27.30
9/5/10,18.47
9/6/10,23.15
9/7/10,50.98
9/8/10,45.01
9/9/10,28.86
9/10/10,29.96
9/11/10,36.60
9/12/10,38.97
9/13/10,50.04
9/14/10,37.18
9/15/10,37.84
9/16/10,40.55
9/17/10,39.02
9/18/10,31.92
9/19/10,35.65
9/20/10,41.97
9/21/10,39.98
9/22/10,51.29
9/23/10,51.54
9/24/10,56.77
9/25/10,68.34
9/26/10,31.86
9/27/10,44.12
9/28/10,43.53
9/29/10,33.37
9/30/10,42.62
10/1/10,34.62
10/2/10,26.87
10/3/10,23.01
10/4/10,34.30
10/5/10,35.28
10/6/10,32.95
10/7/10,31.49
10/8/10,29.54
10/9/10,31.60
10/10/10,27.19
10/11/10,34.60
10/12/10,38.77
10/13/10,29.74
10/14/10,32.29
10/15/10,30.51
10/16/10,34.05
10/17/10,32.59
10/18/10,42.14
10/19/10,39.08
10/20/10,34.67
10/21/10,37.70
10/22/10,35.73
10/23/10,31.54
10/24/10,28.93
10/25/10,38.33
10/26/10,33.19
10/27/10,48.99
10/28/10,37.56
10/29/10,31.20
10/30/10,44.97
10/31/10,28.99
11/1/10,39.57
11/2/10,45.14
11/3/10,36.40
11/4/10,36.67
11/5/10,38.28
11/6/10,43.98
11/7/10,33.11
11/8/10,37.14
11/9/10,33.68
11/10/10,34.41
11/11/10,38.61
11/12/10,40.51
11/13/10,28.72
11/14/10,27.92
11/15/10,35.90
11/16/10,43.83
11/17/10,40.73
11/18/10,46.94
11/19/10,35.62
11/20/10,29.98
11/21/10,27.53
11/22/10,28.74
11/23/10,34.62
11/24/10,37.85
11/25/10,27.72
11/26/10,29.27
11/27/10,35.72
11/28/10,37.53
11/29/10,33.12
11/30/10,32.00
12/1/10,42.13
12/2/10,41.87
12/3/10,39.09
12/4/10,37.63
12/5/10,37.04
12/6/10,51.80
12/7/10,72.70
12/8/10,73.00
12/9/10,53.29
12/10/10,49.15
12/11/10,52.75
12/12/10,38.97
12/13/10,60.66
12/14/10,129.57
12/15/10,105.77
12/16/10,95.87
12/17/10,51.32
12/18/10,40.66
12/19/10,39.62
12/20/10,48.98
12/21/10,43.32
12/22/10,43.99
12/23/10,38.08
12/24/10,34.08
12/25/10,39.95
12/26/10,77.54
12/27/10,58.15
12/28/10,37.68
12/29/10,33.36
12/30/10,37.04
12/31/10,29.92
1/1/11,27.55
1/2/11,30.06
1/3/11,42.15
1/4/11,49.16
1/5/11,63.88
1/6/11,46.62
1/7/11,39.61
1/8/11,49.78
1/9/11,52.12
1/10/11,51.01
1/11/11,47.46
1/12/11,60.93
1/13/11,82.42
1/14/11,53.07
1/15/11,41.47
1/16/11,36.50
1/17/11,45.88
1/18/11,44.26
1/19/11,39.71
1/20/11,39.67
1/21/11,63.66
1/22/11,112.67
1/23/11,84.57
1/24/11,73.78
1/25/11,42.48
1/26/11,57.74
1/27/11,44.46
1/28/11,46.67
1/29/11,47.42
1/30/11,34.97
1/31/11,41.21
2/1/11,40.24
2/2/11,36.97
2/3/11,47.60
2/4/11,52.14
2/5/11,56.08
2/6/11,36.33
2/7/11,47.58
2/8/11,43.43
2/9/11,62.46
2/10/11,48.85
2/11/11,52.94
2/12/11,40.85
2/13/11,34.02
2/14/11,33.33
2/15/11,36.81
2/16/11,34.32
2/17/11,33.53
2/18/11,31.83
2/19/11,41.88
2/20/11,35.64
2/21/11,70.60
2/22/11,52.84
2/23/11,47.41
2/24/11,42.36
2/25/11,40.64
2/26/11,37.04
2/27/11,31.68
2/28/11,37.54
3/1/11,44.08
3/2/11,36.15
3/3/11,43.11
3/4/11,40.42
3/5/11,32.86
3/6/11,44.03
3/7/11,54.78
3/8/11,39.52
3/9/11,50.64
3/10/11,40.86
3/11/11,48.67
3/12/11,37.36
3/13/11,30.81
3/14/11,43.60
3/15/11,36.30
3/16/11,35.09
3/17/11,34.94
3/18/11,30.58
3/19/11,30.12
3/20/11,31.94
3/21/11,39.76
3/22/11,27.46
3/23/11,38.87
3/24/11,48.48
3/25/11,40.29
3/26/11,37.72
3/27/11,38.72
3/28/11,47.76
3/29/11,37.73
3/30/11,39.56
3/31/11,40.39
4/1/11,37.92
4/2/11,48.57
4/3/11,35.43
4/4/11,44.86
4/5/11,47.35
4/6/11,44.53
4/7/11,41.48
4/8/11,57.13
4/9/11,35.24
4/10/11,30.95
4/11/11,36.62
4/12/11,37.07
4/13/11,37.80
4/14/11,35.61
4/15/11,35.62
4/16/11,50.46
4/17/11,38.86
4/18/11,49.56
4/19/11,54.56
4/20/11,47.79
4/21/11,34.03
4/22/11,40.07
4/23/11,40.33
4/24/11,40.96
4/25/11,54.18
4/26/11,61.77
4/27/11,61.40
4/28/11,45.87
4/29/11,44.28
4/30/11,31.63
5/1/11,37.81
5/2/11,50.84
5/3/11,48.44
5/4/11,36.69
5/5/11,35.88
5/6/11,33.53
5/7/11,30.45
5/8/11,28.80
5/9/11,33.22
5/10/11,50.19
5/11/11,61.95
5/12/11,59.68
5/13/11,40.68
5/14/11,38.53
5/15/11,30.13
5/16/11,35.45
5/17/11,36.45
5/18/11,43.85
5/19/11,39.46
5/20/11,34.73
5/21/11,41.13
5/22/11,32.48
5/23/11,39.42
5/24/11,41.11
5/25/11,62.10
5/26/11,58.16
5/27/11,41.91
5/28/11,36.14
5/29/11,41.77
5/30/11,71.65
5/31/11,196.42
6/1/11,98.30
6/2/11,41.89
6/3/11,42.89
6/4/11,49.22
6/5/11,51.06
6/6/11,74.76
6/7/11,52.61
6/8/11,101.34
6/9/11,94.60
6/10/11,52.24
6/11/11,54.46
6/12/11,31.58
6/13/11,29.21
6/14/11,24.56
6/15/11,32.41
6/16/11,36.60
6/17/11,43.42
6/18/11,32.83
6/19/11,25.83
6/20/11,30.17
6/21/11,52.84
6/22/11,52.21
6/23/11,36.98
6/24/11,35.49
6/25/11,31.47
6/26/11,31.28
6/27/11,38.52
6/28/11,59.75
6/29/11,45.60
6/30/11,47.71
7/1/11,32.66
7/2/11,29.94
7/3/11,35.97
7/4/11,29.36
7/5/11,55.72
7/6/11,49.06
7/7/11,51.20
7/8/11,42.99
7/9/11,46.38
7/10/11,48.08
7/11/11,51.90
7/12/11,57.32
7/13/11,40.08
7/14/11,44.95
7/15/11,49.20
7/16/11,44.26
7/17/11,60.51
7/18/11,72.68
7/19/11,59.87
7/20/11,96.00
7/21/11,114.08
7/22/11,152.31
7/23/11,59.28
7/24/11,57.44
7/25/11,49.54
7/26/11,58.83
7/27/11,45.38
7/28/11,48.79
7/29/11,60.82
7/30/11,59.09
7/31/11,52.37
8/1/11,77.41
8/2/11,50.07
8/3/11,44.08
8/4/11,62.98
8/5/11,55.06
8/6/11,51.04
8/7/11,54.92
8/8/11,60.11
8/9/11,42.69
8/10/11,41.12
8/11/11,35.04
8/12/11,34.55
8/13/11,36.72
